APPLICATION_SUBMISSION_TYPE,POSTAL_ADDRESS_TYPE,GENDER,MARITAL_STATUS,RESIDENTIAL_PHONE,RESIDENCE_TYPE,EMAIL,PROFESSIONAL_PHONE,PROFESSION_CODE,OCCUPATION_TYPE,PRODUCT,QUANT_ADDITIONAL_CARDS,QUANT_DEPENDANTS,MONTHS_IN_RESIDENCE,PERSONAL_MONTHLY_INCOME,OTHER_INCOMES,QUANT_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,MONTHS_IN_THE_JOB,AGE,TARGET_LABEL
Web,1,F,6,Y,1,1,N,9,4,1,0,1,15,900,0,0,0,0,0,32,1
Paper,1,F,2,Y,1,1,N,11,4,1,0,0,1,750,0,0,0,0,0,34,1
Web,1,F,2,Y,1,1,N,11,,1,0,0,10,500,0,0,0,0,0,27,0
Web,1,F,2,N,,1,N,,,1,0,0,10,500,0,0,0,0,0,61,0
Web,1,M,2,Y,1,1,N,9,5,1,0,0,12,1200,0,0,0,0,0,48,1
0,1,M,2,Y,1,1,N,9,2,2,0,0,4,500,0,1,0,1,0,40,1
Paper,1,F,2,Y,1,1,N,11,4,1,0,2,1,320,0,0,0,0,0,40,1
Web,1,F,1,N,1,1,Y,11,2,1,0,0,4,489,0,0,0,0,0,28,0
0,1,F,1,Y,1,1,N,0,2,2,0,0,0,450,0,1,0,1,0,31,0
0,1,F,1,Y,1,1,Y,9,2,1,0,0,5,1507,0,1,0,1,0,41,0
Web,1,F,2,Y,1,1,N,9,4,1,0,0,10,200,0,0,0,0,0,36,0
Web,1,F,1,Y,1,1,Y,9,2,2,0,1,6,403,0,0,0,0,0,29,0
Web,1,F,1,Y,1,1,N,,,1,0,1,2,380,0,0,0,0,0,41,0
0,1,F,2,Y,1,1,Y,9,2,1,0,2,12,607,0,0,0,1,0,36,0
Web,1,F,1,Y,1,1,Y,9,,1,0,0,3,375,0,0,0,0,0,19,1
Web,1,F,2,N,1,1,Y,2,4,1,0,1,18,550,0,0,0,0,0,49,0
Web,1,F,1,Y,2,1,N,9,2,1,0,0,0,594.8,0,0,0,0,0,27,0
0,1,F,1,Y,1,1,Y,13,2,1,0,0,25,457,134,0,50000,1,0,32,0
Web,1,M,2,Y,1,1,N,9,2,1,0,2,10,1992.9,0,0,0,0,0,58,0
Web,1,M,1,Y,2,1,N,,4,1,0,3,1,600,0,0,0,0,0,31,0
Web,1,M,2,Y,1,1,Y,7,2,1,0,1,2,2233.54,0,0,0,0,0,40,0
Web,1,M,1,Y,1,1,N,,1,1,0,3,10,612,0,0,0,0,0,69,0
Web,1,M,2,Y,5,1,Y,9,5,1,0,2,4,966.3,0,0,0,0,0,39,0
Web,1,F,1,Y,1,1,N,,4,1,0,0,10,748,0,0,0,0,0,42,0
0,1,F,5,Y,1,0,Y,9,5,1,0,0,3,865,0,1,0,1,0,47,0
Web,1,F,2,Y,1,1,N,9,5,2,0,0,1,350,0,0,0,0,0,42,0
0,1,F,2,Y,1,1,N,0,0,2,0,1,2,350,0,1,0,1,0,30,0
0,1,F,1,Y,1,1,N,9,5,1,0,0,5,350,0,1,0,1,0,26,1
Web,1,F,1,Y,1,1,Y,,,1,0,0,3,1500,0,0,0,0,0,32,0
0,1,M,2,Y,2,1,Y,11,2,1,0,0,0,350,0,1,0,1,0,58,0
Web,1,M,2,Y,1,1,N,2,1,1,0,0,10,278,0,0,0,0,0,60,0
0,1,F,1,Y,1,1,Y,9,2,1,0,1,2,387,0,1,0,1,0,45,1
Web,1,F,3,N,1,1,N,9,1,1,0,1,1,246.98,0,0,0,0,0,48,0
0,1,M,7,Y,1,0,N,9,1,1,0,1,3,1262,0,0,80,1,0,56,0
Web,1,F,2,Y,1,1,N,2,4,1,0,0,14,1100,0,0,0,0,0,49,1
Web,1,F,4,N,1,1,N,9,1,1,0,1,16,360,0,0,0,0,0,71,0
Web,1,M,2,Y,1,1,N,,,1,0,0,8,400,0,0,0,0,0,38,0
0,1,M,5,Y,1,1,N,9,5,7,0,0,10,350,0,0,0,0,0,69,0
Web,1,M,2,Y,1,1,N,9,1,1,0,1,7,261,0,0,0,0,0,60,0
Web,1,M,2,Y,1,1,N,,,1,0,0,10,830,0,0,0,0,0,36,1
0,1,F,2,Y,1,1,N,0,0,1,0,0,5,628,0,1,0,1,0,41,0
Web,1,F,2,Y,1,1,N,9,4,7,0,0,10,380,0,0,0,0,0,45,1
0,1,F,4,Y,1,1,N,11,1,1,0,1,1,1101,0,0,0,0,0,53,0
0,1,F,4,Y,1,1,N,9,1,1,0,0,10,2141,0,1,0,1,0,79,0
Web,1,M,1,N,1,1,Y,9,2,2,0,0,20,542,0,0,0,0,0,31,0
Web,1,M,1,Y,1,1,N,9,2,1,0,0,1,700,0,0,0,0,0,22,0
Paper,1,F,1,Y,1,1,N,11,5,1,0,0,1,591,0,0,0,0,0,37,0
0,1,F,1,Y,1,0,N,9,4,7,0,1,25,3000,0,1,150000,1,0,55,0
Web,1,M,2,Y,1,1,N,2,,1,0,1,5,550,0,0,0,0,0,25,0
Paper,1,F,1,Y,1,1,N,9,2,1,0,1,1,450,0,0,0,0,0,38,0
0,1,M,2,Y,1,1,Y,9,5,1,0,2,9,608,0,1,0,0,0,37,1
Web,1,F,1,Y,1,1,N,9,2,1,0,0,6,1458,0,0,0,0,0,28,0
Web,1,F,1,Y,1,1,N,9,4,1,0,0,15,351,0,0,0,0,0,67,0
Web,1,M,2,Y,1,1,N,9,2,1,0,0,0,880,0,0,0,0,0,21,0
Web,1,M,1,Y,1,1,N,12,2,1,0,0,10,441,0,0,0,0,0,30,0
Web,1,M,2,Y,1,1,Y,9,2,1,0,0,8,536,0,0,0,0,0,50,1
Web,1,M,6,Y,1,1,N,9,4,1,0,0,3,500,0,0,0,0,0,21,0
0,1,M,2,N,1,0,N,11,1,1,0,0,4,1319,0,1,0,1,0,61,0
Web,1,M,2,Y,1,1,N,9,2,1,0,0,5,637.56,0,0,0,0,0,51,0
Web,1,M,6,Y,2,1,N,2,4,2,0,3,3,900,0,0,0,0,0,36,0
Web,1,F,2,Y,1,1,Y,9,2,1,0,2,17,399,0,0,0,0,0,50,0
Web,1,F,2,Y,1,1,N,2,4,1,0,1,3,455,0,0,0,0,0,25,0
0,1,F,1,N,1,0,N,0,1,1,0,0,5,422,0,1,0,1,0,84,1
0,1,F,2,Y,1,0,N,9,2,7,0,1,30,1377,611,0,50000,1,0,55,0
Web,1,F,2,N,1,1,N,9,2,1,0,1,10,379,0,0,0,0,0,42,0
Web,1,F,2,Y,1,1,N,9,4,1,0,4,1,900,0,0,0,0,0,49,0
Web,1,M,2,Y,1,1,N,7,2,1,0,1,5,1500,0,0,0,0,0,43,0
Web,1,F,1,Y,1,1,N,,,1,0,0,12,300,0,0,0,0,0,25,1
Web,1,F,1,Y,1,1,N,9,5,1,0,0,1,625,0,0,0,0,0,44,0
Web,1,F,1,Y,1,1,N,6,5,1,0,0,30,1374,0,0,0,0,0,57,0
Web,1,F,7,Y,1,1,Y,9,2,1,0,1,3,334,0,0,0,0,0,38,0
Web,1,F,1,Y,1,1,N,,,7,0,0,4,1400,0,0,0,0,0,33,0
Web,1,F,4,Y,2,1,N,9,1,1,0,0,10,275.08,0,0,0,0,0,69,0
Web,1,F,4,Y,1,1,Y,,,1,0,1,5,2204,1450,0,20000,0,0,48,0
Web,1,M,6,Y,1,1,N,9,2,2,0,0,10,600,0,0,0,0,0,34,0
0,1,M,1,Y,1,0,N,9,1,1,0,2,11,350,0,1,0,1,0,36,1
0,1,F,1,Y,1,1,Y,9,2,1,0,1,14,440,0,0,0,0,0,49,0
Web,1,F,1,Y,1,1,N,,4,1,0,0,16,600,0,0,0,0,0,55,0
0,1,M,1,Y,1,1,N,9,2,2,0,0,0,490,0,1,0,1,0,20,0
0,1,F,2,Y,,1,N,,,1,0,0,10,209,0,0,0,0,0,37,0
0,1,F,2,Y,2,1,N,,,1,0,0,10,246,0,1,0,0,0,69,0
Web,1,F,1,Y,1,1,N,,2,1,0,0,20,380,0,0,0,0,0,22,0
Web,1,M,1,Y,2,1,Y,9,2,1,0,1,7,455,0,0,0,0,0,20,1
Web,1,M,2,Y,1,1,N,2,4,1,0,2,37,2500,0,1,100000,1,0,38,0
Web,1,F,3,Y,1,1,N,9,5,1,0,0,3,350,0,0,0,0,0,20,1
Web,1,M,4,Y,1,1,N,9,1,1,0,0,10,935,0,0,0,0,0,57,0
0,1,M,2,Y,2,1,N,11,5,1,0,0,10,1847,0,0,0,0,0,71,0
0,1,F,2,Y,1,1,N,16,5,2,0,0,1,1030,0,1,0,1,0,38,0
Web,1,F,2,Y,1,1,N,9,1,1,0,0,22,200,0,0,0,0,0,63,0
0,1,M,2,N,2,1,N,9,5,1,0,0,2,454,0,1,0,1,0,62,0
Web,1,F,2,Y,1,1,N,,,1,0,0,10,351,0,0,0,0,0,63,0
Paper,1,F,1,N,1,1,N,9,2,1,0,0,1,394,0,0,0,0,0,25,0
Web,1,F,1,Y,1,1,N,,,1,0,0,10,800,0,0,0,0,0,24,0
Web,1,F,2,Y,1,1,N,,2,1,0,0,10,764,0,0,0,0,0,40,0
0,1,M,2,Y,1,0,N,9,4,1,0,2,33,671,0,1,100000,1,0,32,0
0,2,M,6,Y,1,1,Y,12,2,1,0,2,6,554,0,0,8000,0,0,54,0
0,1,F,1,Y,1,0,N,9,5,1,0,0,10,200,0,1,0,1,0,21,1
Web,1,F,2,N,1,1,N,9,4,1,0,1,10,500,0,0,30000,0,0,45,0
Web,1,F,2,Y,2,1,N,9,1,2,0,0,3,350,0,0,0,0,0,64,0
Web,1,F,1,Y,1,1,Y,9,2,1,0,0,20,350,0,0,0,0,0,21,0
Web,1,F,2,Y,1,1,N,9,4,1,0,0,1,350,0,0,0,0,0,69,0
Web,1,F,2,Y,1,1,Y,,,1,0,2,5,390,0,0,0,0,0,28,0
0,1,M,2,Y,1,0,Y,9,5,1,0,1,26,500,0,1,0,1,0,26,0
0,1,F,1,Y,1,0,N,9,2,2,0,1,10,466,0,1,0,1,0,29,1
Web,1,M,2,N,1,1,N,9,1,1,0,0,10,1530.79,0,1,0,0,0,92,1
Web,1,M,2,Y,1,1,N,9,1,1,0,0,6,440,0,0,0,0,0,56,0
Web,1,F,2,Y,1,1,N,,2,1,0,0,8,500,0,0,0,0,0,55,1
Web,1,F,6,Y,1,1,N,,,1,0,0,10,331.76,0,0,0,0,0,19,0
Web,1,M,1,Y,1,1,N,,,1,0,0,10,1300,0,0,0,0,0,27,0
0,1,F,2,Y,1,1,N,9,2,2,0,3,2,395,320,1,38000,1,0,26,0
0,1,F,2,Y,1,1,N,0,0,1,0,0,16,500,0,1,0,1,0,56,1
Web,1,F,2,Y,1,1,N,9,2,1,0,1,4,475,0,0,0,0,0,28,0
0,1,M,2,N,1,1,Y,13,5,1,0,0,15,636,0,1,0,1,0,60,0
0,1,F,1,Y,1,0,N,9,2,7,0,0,0,603,0,1,0,1,0,29,0
0,1,F,1,Y,1,1,N,9,,1,0,1,1,800,0,1,0,0,0,25,0
Web,1,M,2,Y,1,1,Y,9,5,1,0,0,25,350,0,0,0,0,0,25,0
0,1,F,2,Y,0,0,N,16,1,1,0,0,3,551,0,1,0,1,0,48,0
0,1,F,4,Y,1,1,N,9,1,1,0,2,0,662,0,1,0,1,0,51,0
Web,1,M,1,Y,1,1,N,9,2,2,0,0,10,584,0,0,0,0,0,29,0
Web,1,F,2,Y,1,1,N,9,4,1,0,0,10,2400,0,0,0,0,0,45,1
Web,1,F,1,Y,1,1,N,,4,1,0,0,1,325,0,0,0,0,0,60,0
Web,1,F,2,Y,2,1,N,,,1,0,5,8,1000,0,0,0,0,0,61,1
Web,1,F,1,Y,1,1,N,2,4,2,0,0,2,900,0,0,0,0,0,26,0
Web,1,F,2,Y,,1,Y,,,1,0,0,10,1606,0,0,0,0,0,42,0
0,1,F,2,Y,1,0,Y,9,2,1,0,0,22,604,0,1,0,1,0,22,0
Paper,1,M,2,N,1,1,N,9,4,1,0,2,1,200,0,0,0,0,0,39,1
Web,2,F,1,Y,1,1,Y,9,2,2,0,1,5,372,0,0,0,0,0,40,1
0,1,M,1,Y,1,0,N,12,5,2,0,0,14,350,0,1,25000,1,0,50,1
0,1,M,2,Y,1,1,N,9,1,1,0,0,9,350,0,1,0,1,0,65,1
Web,1,M,2,Y,1,1,N,,,1,0,1,10,400,0,0,0,0,0,37,0
Web,1,F,2,N,1,1,N,,2,1,0,0,5,350,0,0,0,0,0,44,0
0,1,F,1,Y,1,1,N,9,1,1,0,1,0,344,0,1,0,1,0,73,0
0,1,F,2,Y,1,1,Y,0,0,1,0,3,2,400,0,1,0,1,0,30,1
Web,1,F,4,N,1,1,N,,1,1,0,0,5,1240,0,0,0,0,0,91,1
0,1,F,2,Y,1,0,Y,9,2,1,0,0,12,394,0,1,0,1,0,27,0
